,Total number of Household provided Employment
0,120
1,60
2,35
3,18
4,103
5,40
6,14
7,44
8,8
9,38
10,47
11,174
12,108
13,40
14,87
15,22
16,115
17,76
18,212
19,159
20,94
21,122
22,69
23,119
24,30
25,65
26,136
27,59
28,26
29,0
30,89
31,22
32,121
33,95
34,66
35,34
36,0
37,78
38,0
39,16
40,179
41,141
42,44
43,20
44,0
45,155
46,89
47,245
48,34
49,66
50,76
51,83
52,127
53,0
54,71
55,0
56,34
57,224
58,29
59,149
60,136
61,48
62,83
63,169
64,59
65,42
66,62
67,44
68,80
69,42
70,92
71,48
72,127
73,99
74,42
75,0
76,86
77,43
78,148
79,0
80,53
81,23
82,42
83,182
84,170
85,0
86,45
87,38
88,42
89,386
90,87
91,6
92,101
93,87
94,173
95,32
96,24
97,88
98,162
99,79
100,60
101,69
102,45
103,65
104,60
105,38
106,70
107,57
108,133
109,59
110,88
111,40
112,52
113,90
114,38
115,0
116,75
117,119
118,8
119,85
120,78
121,107
122,53
123,5
124,50
125,66
126,107
127,124
128,89
129,64
130,53
131,0
132,32
133,0
134,30
135,90
136,20
137,65
138,110
139,241
140,125
141,205
142,16
143,54
144,53
145,73
146,47
147,43
148,11
149,209
150,85
151,43
152,130
153,18
154,39
155,10
156,12
157,113
158,57
159,110
160,39
161,91
162,0
163,81
164,63
165,0
166,106
167,35
168,45
169,15
170,0
171,104
172,98
173,60
174,56
175,67
176,181
177,19
178,0
179,54
180,279
181,30
182,73
183,80
184,50
185,55
186,57
187,35
188,65
189,44
190,109
191,30
192,28
193,0
194,73
195,140
196,357
197,0
198,53
199,23
200,29
201,73
202,0
203,105
204,26
205,80
206,41
207,40
208,29
209,32
210,37
211,26
212,104
213,156
214,0
215,24
216,41
217,12
218,24
219,63
220,13
221,70
222,89
223,0
224,66
225,48
226,54
227,30
228,88
229,98
230,73
231,44
232,35
233,63
234,53
235,198
236,64
237,185
238,78
239,323
240,125
241,19
242,75
243,68
244,0
245,64
246,24
247,202
248,124
249,66
250,31
251,80
252,52
253,81
254,66
255,31
256,80
257,136
258,26
259,42
260,37
261,100
262,96
263,13
264,46
265,32
266,0
267,100
268,34
269,0
270,466
271,33
272,111
