,Total number of Household provided Employment
0,120
2,35
3,18
4,103
5,40
6,14
8,8
9,38
10,47
11,174
13,40
14,87
16,115
17,76
18,212
20,94
21,122
22,69
24,30
25,65
27,59
29,0
30,89
31,22
33,95
35,34
36,0
37,78
38,0
40,179
41,141
42,44
43,20
44,0
45,155
46,89
48,34
50,76
52,127
53,0
54,71
55,0
56,34
58,29
59,149
61,48
63,169
65,42
67,44
68,80
69,42
70,92
71,48
72,127
73,99
74,42
75,0
76,86
77,43
78,148
80,53
82,42
84,170
85,0
86,45
87,38
88,42
89,386
91,6
92,101
93,87
94,173
96,24
98,162
99,79
101,69
103,65
104,60
105,38
107,57
109,59
110,88
111,40
112,52
114,38
115,0
116,75
117,119
119,85
121,107
122,53
125,66
127,124
128,89
129,64
130,53
131,0
132,32
133,0
134,30
135,90
136,20
138,110
140,125
142,16
143,54
145,73
146,47
147,43
148,11
149,209
150,85
151,43
153,18
154,39
155,10
157,113
158,57
159,110
160,39
161,91
162,0
164,63
165,0
166,106
167,35
168,45
169,15
170,0
171,104
172,98
173,60
174,56
177,19
178,0
179,54
180,279
182,73
183,80
184,50
186,57
187,35
188,65
190,109
191,30
194,73
195,140
197,0
198,53
199,23
202,0
203,105
204,26
205,80
206,41
207,40
209,32
210,37
213,156
214,0
216,41
217,12
218,24
219,63
221,70
222,89
223,0
224,66
226,54
228,88
230,73
232,35
233,63
234,53
235,198
236,64
237,185
238,78
242,75
243,68
244,0
245,64
248,124
250,31
251,80
252,52
254,66
255,31
256,80
258,26
259,42
260,37
261,100
262,96
263,13
264,46
265,32
266,0
267,100
269,0
271,33
272,111
273,43
275,23
277,52
278,46
279,77
280,60
281,58
282,85
283,128
284,28
285,34
288,50
290,60
291,54
292,98
293,25
294,59
295,42
297,172
300,114
301,46
305,37
306,70
307,42
308,86
309,386
312,62
313,103
314,97
315,52
316,47
320,171
321,50
323,52
324,172
325,109
326,20
329,85
336,51
338,42
340,124
342,68
344,23
345,38
346,406
347,33
348,108
351,58
352,93
354,166
355,30
356,51
357,102
358,31
359,22
360,125
361,62
362,50
363,345
364,32
365,0
366,0
368,55
369,30
370,340
372,50
373,67
374,44
375,28
376,72
377,110
378,51
380,19
381,87
382,0
383,45
384,24
385,77
386,323
387,46
388,0
389,322
390,0
393,34
394,0
395,73
396,191
397,0
398,63
400,86
401,195
402,52
403,68
404,102
405,39
406,0
407,231
408,0
409,104
410,27
412,34
413,53
414,36
415,35
417,209
418,3
419,43
420,19
421,104
422,65
423,81
424,50
426,60
427,21
428,0
429,9
430,36
431,0
432,0
434,0
435,5
436,46
439,51
444,119
446,43
447,25
448,101
449,30
451,63
452,62
453,83
454,45
456,28
457,30
458,0
459,24
460,98
461,56
462,305
463,71
465,14
466,80
467,61
468,38
469,59
470,36
471,0
472,135
473,177
474,19
475,95
478,87
479,47
480,35
481,37
482,209
483,45
485,91
486,507
487,48
489,70
490,187
491,102
492,308
493,48
497,32
498,115
499,45
500,241
501,56
502,21
503,149
505,202
506,0
507,50
508,52
509,184
510,72
511,27
512,393
513,37
514,78
515,37
516,69
520,10
522,0
526,56
528,18
529,89
531,0
532,45
533,36
534,0
535,56
536,85
538,51
539,54
540,13
541,248
542,63
544,66
545,51
546,42
547,0
549,24
550,128
551,152
553,31
554,59
555,18
557,68
558,60
560,88
561,41
562,141
563,64
565,147
566,45
568,0
569,25
572,21
573,37
574,113
575,17
576,109
577,120
578,297
579,64
580,139
581,49
583,109
585,63
586,42
587,41
588,99
590,0
591,53
593,49
594,127
595,72
596,22
597,93
598,64
599,63
600,88
601,105
602,47
603,62
604,58
607,30
608,0
610,17
611,17
613,20
615,77
616,64
617,27
618,31
622,15
623,309
624,106
626,96
627,158
628,89
630,0
631,53
634,173
635,185
636,67
637,66
638,53
640,76
641,122
643,229
645,0
647,55
648,78
650,48
651,133
652,126
655,47
656,41
657,0
658,51
659,17
660,68
661,65
662,40
663,64
665,0
666,23
667,159
668,0
670,74
671,0
672,12
673,53
675,140
676,0
678,83
680,12
682,37
683,51
685,0
686,26
688,138
690,71
691,25
692,195
693,86
694,35
697,198
698,18
700,86
702,0
703,0
704,29
705,138
706,23
707,0
708,9
710,25
711,176
712,32
713,22
714,60
715,15
717,32
718,59
720,0
721,68
722,56
725,85
726,68
728,28
729,81
730,52
731,98
732,152
733,146
735,92
739,7
740,70
741,48
742,23
743,61
744,200
745,13
746,22
747,63
749,96
750,84
751,124
752,34
753,87
754,122
755,34
757,46
760,0
761,35
762,0
764,11
765,24
766,10
767,263
768,39
770,118
771,39
773,42
774,46
776,143
777,229
779,0
780,0
782,38
783,50
784,8
786,96
787,0
789,34
792,0
795,154
796,127
797,19
799,131
800,40
801,8
802,40
803,50
804,60
806,60
808,27
809,11
811,32
814,21
816,51
818,152
819,99
820,127
822,45
823,40
824,36
826,124
828,46
830,35
831,70
832,83
834,0
835,12
836,0
837,162
838,54
839,95
840,43
841,94
842,85
845,36
846,0
847,132
849,48
850,32
852,56
853,90
854,0
857,65
859,72
860,72
861,55
862,99
863,81
864,111
865,113
866,133
867,35
868,139
869,44
871,49
872,47
873,91
875,118
876,42
877,191
878,38
879,0
880,195
882,67
883,0
884,16
885,41
886,0
887,10
888,17
889,7
891,58
892,37
894,28
895,7
898,341
900,22
901,47
902,23
903,103
905,65
906,0
907,0
908,61
910,0
911,41
912,79
913,3
914,162
915,50
917,18
919,14
920,66
921,0
922,87
923,165
924,0
925,22
926,15
927,124
929,29
930,55
931,127
933,156
934,0
936,38
937,49
938,73
939,31
940,65
941,209
942,27
943,0
944,76
945,75
946,37
947,49
948,0
949,59
950,101
951,344
952,0
953,0
954,122
955,12
956,30
957,43
958,15
959,137
960,0
965,169
966,86
967,418
968,0
969,79
970,212
971,51
972,16
973,30
974,186
975,60
976,30
977,91
978,60
979,137
980,13
981,25
982,38
983,50
984,57
985,0
986,88
987,42
988,161
989,122
990,75
991,69
993,68
994,42
995,0
996,100
998,41
999,22
1000,313
1001,67
1003,0
1006,175
1007,0
1008,44
1009,0
1010,60
1011,17
1014,56
1015,0
1016,17
1017,42
1018,29
1019,0
1020,0
1021,31
1022,235
1023,362
1025,219
1027,50
1028,0
1029,0
1030,138
1033,134
1034,58
1035,119
1036,69
1037,79
1039,53
1040,49
1041,58
1042,24
1044,12
1045,8
1046,65
1047,128
1048,46
1049,42
1050,42
